ID	ra_center	dec_center
262	254.960372	-61.539501
263	261.596107	-61.539501
264	268.231841	-61.539501
265	274.867576	-61.539501
266	281.503310	-61.539501
267	288.139045	-61.539501
268	294.774779	-61.539501
269	301.410514	-61.539501
270	308.046248	-61.539501
271	314.681983	-61.539501
272	321.317717	-61.539501
273	327.953452	-61.539501
274	334.589186	-61.539501
275	341.224921	-61.539501
276	347.860655	-61.539501
277	354.496390	-61.539501
278	2.828030	-58.377223
279	8.859176	-58.377223
280	14.890323	-58.377223
281	20.921470	-58.377223
282	26.952616	-58.377223
283	32.983763	-58.377223
284	39.014910	-58.377223
285	45.046056	-58.377223
286	51.077203	-58.377223
287	57.108350	-58.377223
288	63.139496	-58.377223
289	69.170643	-58.377223
290	75.201790	-58.377223
291	81.232936	-58.377223
292	87.264083	-58.377223
293	93.295230	-58.377223
294	99.326376	-58.377223
295	105.357523	-58.377223
296	111.388670	-58.377223
297	117.419817	-58.377223
298	123.450963	-58.377223
299	129.482110	-58.377223
300	135.513257	-58.377223
301	141.544403	-58.377223
302	147.575550	-58.377223
303	153.606697	-58.377223
304	159.637843	-58.377223
305	165.668990	-58.377223
306	171.700137	-58.377223
307	177.731283	-58.377223
308	183.762430	-58.377223
309	189.793577	-58.377223
310	195.824723	-58.377223
311	201.855870	-58.377223
312	207.887017	-58.377223
313	213.918163	-58.377223
314	219.949310	-58.377223
315	225.980457	-58.377223
316	232.011604	-58.377223
317	238.042750	-58.377223
318	244.073897	-58.377223
319	250.105044	-58.377223
320	256.136190	-58.377223
321	262.167337	-58.377223
322	268.198484	-58.377223
323	274.229630	-58.377223
324	280.260777	-58.377223
325	286.291924	-58.377223
326	292.323070	-58.377223
327	298.354217	-58.377223
328	304.385364	-58.377223
329	310.416510	-58.377223
330	316.447657	-58.377223
331	322.478804	-58.377223
332	328.509950	-58.377223
333	334.541097	-58.377223
334	340.572244	-58.377223
335	346.603391	-58.377223
336	352.634537	-58.377223
337	358.665684	-58.377223
338	4.235313	-55.214946
339	9.778313	-55.214946
340	15.321312	-55.214946
341	20.864312	-55.214946
342	26.407312	-55.214946
343	31.950311	-55.214946
344	37.493311	-55.214946
345	43.036310	-55.214946
346	48.579310	-55.214946
347	54.122309	-55.214946
348	59.665309	-55.214946
349	65.208309	-55.214946
350	70.751308	-55.214946
351	76.294308	-55.214946
352	81.837307	-55.214946
353	87.380307	-55.214946
354	92.923307	-55.214946
355	98.466306	-55.214946
356	104.009306	-55.214946
357	109.552305	-55.214946
358	115.095305	-55.214946
359	120.638305	-55.214946
360	126.181304	-55.214946
361	131.724304	-55.214946
362	137.267303	-55.214946
363	142.810303	-55.214946
364	148.353303	-55.214946
365	153.896302	-55.214946
366	159.439302	-55.214946
367	164.982301	-55.214946
368	170.525301	-55.214946
369	176.068300	-55.214946
370	181.611300	-55.214946
371	187.154300	-55.214946
372	192.697299	-55.214946
373	198.240299	-55.214946
374	203.783298	-55.214946
375	209.326298	-55.214946
376	214.869298	-55.214946
377	220.412297	-55.214946
378	225.955297	-55.214946
379	231.498296	-55.214946
380	237.041296	-55.214946
381	242.584296	-55.214946
382	248.127295	-55.214946
383	253.670295	-55.214946
384	259.213294	-55.214946
385	264.756294	-55.214946
386	270.299293	-55.214946
387	275.842293	-55.214946
388	281.385293	-55.214946
389	286.928292	-55.214946
390	292.471292	-55.214946
391	298.014291	-55.214946
392	303.557291	-55.214946
393	309.100291	-55.214946
394	314.643290	-55.214946
395	320.186290	-55.214946
396	325.729289	-55.214946
397	331.272289	-55.214946
398	336.815289	-55.214946
399	342.358288	-55.214946
400	347.901288	-55.214946
401	353.444287	-55.214946
402	358.987287	-55.214946
403	5.019503	-52.052668
404	10.161946	-52.052668
405	15.304389	-52.052668
406	20.446832	-52.052668
407	25.589275	-52.052668
408	30.731718	-52.052668
409	35.874161	-52.052668
410	41.016603	-52.052668
411	46.159046	-52.052668
412	51.301489	-52.052668
413	56.443932	-52.052668
414	61.586375	-52.052668
415	66.728818	-52.052668
416	71.871261	-52.052668
417	77.013704	-52.052668
418	82.156147	-52.052668
419	87.298590	-52.052668
420	92.441033	-52.052668
421	97.583476	-52.052668
422	102.725919	-52.052668
423	107.868361	-52.052668
424	113.010804	-52.052668
425	118.153247	-52.052668
426	123.295690	-52.052668
427	128.438133	-52.052668
428	133.580576	-52.052668
429	138.723019	-52.052668
430	143.865462	-52.052668
431	149.007905	-52.052668
432	154.150348	-52.052668
433	159.292791	-52.052668
434	164.435234	-52.052668
435	169.577677	-52.052668
436	174.720120	-52.052668
437	179.862562	-52.052668
438	185.005005	-52.052668
439	190.147448	-52.052668
440	195.289891	-52.052668
441	200.432334	-52.052668
442	205.574777	-52.052668
443	210.717220	-52.052668
444	215.859663	-52.052668
445	221.002106	-52.052668
446	226.144549	-52.052668
447	231.286992	-52.052668
448	236.429435	-52.052668
449	241.571878	-52.052668
450	246.714320	-52.052668
451	251.856763	-52.052668
452	256.999206	-52.052668
453	262.141649	-52.052668
454	267.284092	-52.052668
455	272.426535	-52.052668
456	277.568978	-52.052668
457	282.711421	-52.052668
458	287.853864	-52.052668
459	292.996307	-52.052668
460	298.138750	-52.052668
461	303.281193	-52.052668
462	308.423636	-52.052668
463	313.566079	-52.052668
