Dataset,Budget,ObjectValue,ReturnValue,Gap,Runtime
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,1000,0.578689,0.578689,0,137.084
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,1200,0.589538,0.589538,0,133.639
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,1400,0.59615,0.59615,0,133.042
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200220_124850_7dt.csv,1600,0.599849,0.599849,0,140.466
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,10,1911.24,0.0177436,107713,1419.54
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,200,1968.66,0.206066,9552.53,1243.34
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,400,0.324484,0.322989,0.00463036,1235.15
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,600,0.406735,0.406735,0,1235.04
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,800,0.463424,0.463424,0,1242.82
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,1000,0.502567,0.502567,0,1237.76
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,1200,0.529121,0.529121,0,1235.38
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,1400,0.546567,0.546567,0,1241.31
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200302_015811_7dt.csv,1600,0.558366,0.558366,0,1208.53
